match_id,start_date,venue,innings,phase,runs_off_bat,extras,runs,0s,1s,2s,3s,4s,5s,6s,wickets_fallen
336028,2008,Mumbai,1,Powerplay,42,1,43,19,8,3,0,4,0,2,1
336028,2008,Mumbai,2,Death,40,4,44,13,6,8,0,3,0,1,7
336028,2008,Mumbai,2,Middle,69,7,76,19,23,3,0,7,0,2,2
336028,2008,Mumbai,2,Powerplay,56,12,68,23,4,3,0,7,0,3,1
336029,2008,Chennai,1,Death,49,1,50,9,9,5,0,6,0,1,3
336029,2008,Chennai,1,Middle,51,2,53,22,25,3,0,5,0,0,3
336029,2008,Chennai,1,Powerplay,22,1,23,24,8,1,0,3,0,0,2
336029,2008,Chennai,2,Death,17,3,20,24,5,0,0,3,0,0,4
336029,2008,Chennai,2,Middle,46,2,48,24,24,4,0,2,0,1,4
336029,2008,Chennai,2,Powerplay,37,7,44,26,4,2,1,5,0,1,0
336033,2008,Chennai,1,Death,44,0,44,8,12,5,0,4,0,1,3
336033,2008,Chennai,1,Middle,98,2,100,12,26,4,0,7,0,6,2
336033,2008,Chennai,1,Powerplay,62,5,67,14,10,2,0,9,0,2,0
336033,2008,Chennai,2,Death,42,2,44,9,16,2,0,4,0,1,4
336033,2008,Chennai,2,Middle,87,5,92,15,27,4,0,7,0,4,2
336033,2008,Chennai,2,Powerplay,63,2,65,18,7,0,0,8,0,4,1
336034,2008,Bengaluru,1,Death,41,1,42,11,13,0,0,4,0,2,3
336034,2008,Bengaluru,1,Middle,66,2,68,12,34,2,0,4,0,2,4
336034,2008,Bengaluru,1,Powerplay,44,2,46,16,14,1,0,7,0,0,1
336034,2008,Bengaluru,2,Death,39,2,41,9,17,0,0,1,0,3,4
336034,2008,Bengaluru,2,Middle,77,2,79,15,29,0,0,9,0,2,0
336034,2008,Bengaluru,2,Powerplay,31,2,33,22,9,1,0,5,0,0,2
336035,2008,Kolkata,1,Death,39,2,41,13,9,2,2,5,0,0,3
336035,2008,Kolkata,1,Middle,85,1,86,16,25,3,0,6,0,5,2
336035,2008,Kolkata,1,Powerplay,39,8,47,20,13,1,0,6,0,0,1
336035,2008,Kolkata,2,Death,67,4,71,7,9,2,0,3,0,7,2
336035,2008,Kolkata,2,Middle,50,3,53,28,20,2,0,5,0,1,3
336035,2008,Kolkata,2,Powerplay,49,2,51,21,7,0,0,9,0,1,2
336036,2008,Jaipur,1,Death,43,5,48,15,9,2,0,6,0,1,5
336036,2008,Jaipur,1,Middle,63,5,68,17,25,7,0,6,0,0,2
336036,2008,Jaipur,1,Powerplay,26,3,29,25,7,4,1,2,0,0,0
336036,2008,Jaipur,2,Death,50,6,56,6,16,4,2,2,0,2,0
336036,2008,Jaipur,2,Middle,48,6,54,22,26,3,0,4,0,0,3
336036,2008,Jaipur,2,Powerplay,32,4,36,23,10,1,0,5,0,0,2
336037,2008,Hyderabad,1,Death,48,6,54,11,14,1,0,5,0,2,5
336037,2008,Hyderabad,1,Middle,58,9,67,22,26,3,0,5,0,1,1
336037,2008,Hyderabad,1,Powerplay,25,1,26,22,9,2,0,3,0,0,2
336037,2008,Hyderabad,2,Death,34,0,34,7,13,2,1,2,0,1,1
336037,2008,Hyderabad,2,Middle,63,7,70,26,21,3,0,6,0,2,1
336037,2008,Hyderabad,2,Powerplay,40,4,44,24,8,0,0,8,0,0,1
336038,2008,Mumbai,1,Death,49,1,50,12,11,0,0,2,0,5,5
336038,2008,Mumbai,1,Middle,82,2,84,20,20,5,0,7,0,4,4
336038,2008,Mumbai,1,Powerplay,57,1,58,18,5,3,0,10,0,1,0
336038,2008,Mumbai,2,Death,5,0,5,5,1,0,0,1,0,0,2
336038,2008,Mumbai,2,Middle,52,2,54,27,18,2,0,6,0,1,5
336038,2008,Mumbai,2,Powerplay,23,5,28,22,15,0,0,2,0,0,3
336039,2008,Mumbai,1,Death,41,3,44,11,13,1,0,5,0,1,1
336039,2008,Mumbai,1,Middle,33,0,33,34,13,4,0,3,0,0,3
336039,2008,Mumbai,1,Powerplay,34,1,35,21,9,2,1,3,0,1,4
336039,2008,Mumbai,2,Middle,79,2,81,18,25,1,0,7,0,4,0
336039,2008,Mumbai,2,Powerplay,33,2,35,23,9,0,0,6,0,0,1
419109,2010,Kolkata,1,Death,45,1,46,8,13,3,0,5,0,1,2
419109,2010,Kolkata,1,Middle,62,3,65,13,34,3,0,4,0,1,2
419109,2010,Kolkata,1,Powerplay,23,1,24,27,5,1,0,4,0,0,3
419109,2010,Kolkata,2,Death,20,0,20,15,8,1,0,1,0,1,1
419109,2010,Kolkata,2,Middle,49,6,55,28,23,3,0,5,0,0,2
419109,2010,Kolkata,2,Powerplay,61,0,61,13,10,2,1,8,0,2,0
419110,2010,Chennai,1,Death,59,4,63,9,13,2,0,6,0,3,2
419110,2010,Chennai,1,Middle,64,6,70,26,20,4,0,6,0,2,0
419110,2010,Chennai,1,Powerplay,51,6,57,22,9,0,0,6,0,3,2
419110,2010,Chennai,2,Death,49,2,51,10,15,1,0,2,0,4,3
419110,2010,Chennai,2,Middle,73,1,74,15,28,4,1,4,0,3,2
419110,2010,Chennai,2,Powerplay,34,0,34,22,8,2,0,1,0,3,4
419112,2010,Bengaluru,1,Death,66,4,70,8,11,2,1,9,0,2,2
